archivo,integrante,etiqueta_esperada,CNN2_normal_pred,CNN2_normal_confianza,CNN2_aug_pred,CNN2_aug_confianza,RandomForest_pred,RandomForest_confianza,CNN2_normal_correcto,CNN2_aug_correcto,RandomForest_correcto
asl_alphabet_test\N\1000117052.jpg,Integrante B,n,n,0.8450919985771179,m,0.9267905950546265,nothing,0.15,True,False,False
asl_alphabet_test\N\1000117053.jpg,Integrante B,n,n,0.33832240104675293,m,0.9619760513305664,nothing,0.195,True,False,False
asl_alphabet_test\o\1.png,Integrante C,o,n,0.34371262788772583,e,0.5502733588218689,nothing,0.19,False,False,False
asl_alphabet_test\o\10.png,Integrante C,o,nothing,0.4661397337913513,c,0.33561229705810547,nothing,0.155,False,False,False
asl_alphabet_test\o\2.png,Integrante C,o,c,0.5203791856765747,c,0.8356690406799316,nothing,0.215,False,False,False
asl_alphabet_test\o\3.png,Integrante C,o,n,0.38624823093414307,c,0.2835589647293091,nothing,0.225,False,False,False
asl_alphabet_test\o\4.png,Integrante C,o,c,0.51517254114151,nothing,0.647592306137085,nothing,0.235,False,False,False
asl_alphabet_test\o\5.png,Integrante C,o,nothing,0.8680258393287659,nothing,0.8184048533439636,nothing,0.23,False,False,False
asl_alphabet_test\o\6.png,Integrante C,o,n,0.4582440257072449,e,0.5049108862876892,nothing,0.22,False,False,False
asl_alphabet_test\o\7.png,Integrante C,o,n,0.29842373728752136,e,0.7317094206809998,nothing,0.2,False,False,False
asl_alphabet_test\o\8.png,Integrante C,o,c,0.7189473509788513,c,0.6741042137145996,nothing,0.26,False,False,False
asl_alphabet_test\o\9.png,Integrante C,o,n,0.3688603341579437,c,0.5615857243537903,nothing,0.24,False,False,False
asl_alphabet_test\r\20260808_175902.jpg,Integrante A,r,nothing,0.8669752478599548,k,0.7272942066192627,nothing,0.195,False,False,False
asl_alphabet_test\r\20260808_175904.jpg,Integrante A,r,n,0.623794674873352,k,0.968465268611908,nothing,0.145,False,False,False
asl_alphabet_test\r\20260808_175906.jpg,Integrante A,r,n,0.5027664303779602,k,0.6888408660888672,nothing,0.14,False,False,False
asl_alphabet_test\r\20260808_175908.jpg,Integrante A,r,n,0.457169771194458,k,0.5752277374267578,nothing,0.21,False,False,False
asl_alphabet_test\r\20260808_175910.jpg,Integrante A,r,n,0.40772223472595215,k,0.5723841786384583,nothing,0.19,False,False,False
asl_alphabet_test\r\20260808_175911.jpg,Integrante A,r,nothing,0.5862306952476501,r,0.5086596608161926,nothing,0.185,False,True,False
asl_alphabet_test\r\20260808_175912.jpg,Integrante A,r,nothing,0.9931356906890869,nothing,0.7542975544929504,nothing,0.135,False,False,False
asl_alphabet_test\r\20260808_175916.jpg,Integrante A,r,n,0.47858989238739014,k,0.6230178475379944,nothing,0.2,False,False,False
asl_alphabet_test\r\20260808_175917.jpg,Integrante A,r,n,0.497222900390625,k,0.95835942029953,nothing,0.18,False,False,False
asl_alphabet_test\r\20260808_175919.jpg,Integrante A,r,n,0.4618081748485565,k,0.7982733845710754,nothing,0.19,False,False,False
asl_alphabet_test\S\1000117064.jpg,Integrante B,s,n,0.45366308093070984,m,0.8761389255523682,nothing,0.17,False,False,False
asl_alphabet_test\S\1000117065.jpg,Integrante B,s,n,0.31671884655952454,m,0.46062663197517395,nothing,0.155,False,False,False
asl_alphabet_test\S\1000117066.jpg,Integrante B,s,nothing,0.5855659246444702,m,0.41028714179992676,nothing,0.205,False,False,False
asl_alphabet_test\S\1000117067.jpg,Integrante B,s,nothing,0.7337902784347534,m,0.4170183539390564,nothing,0.18,False,False,False
asl_alphabet_test\S\1000117068.jpg,Integrante B,s,n,0.4473043382167816,m,0.9534058570861816,nothing,0.18,False,False,False
asl_alphabet_test\S\1000117069.jpg,Integrante B,s,nothing,0.6890245079994202,e,0.6651172041893005,nothing,0.235,False,False,False
asl_alphabet_test\S\1000117070.jpg,Integrante B,s,a,0.29863083362579346,e,0.41542038321495056,nothing,0.155,False,False,False
asl_alphabet_test\S\1000117071.jpg,Integrante B,s,nothing,0.36741873621940613,e,0.49844297766685486,nothing,0.175,False,False,False
asl_alphabet_test\S\1000117072.jpg,Integrante B,s,n,0.3076789081096649,e,0.39434537291526794,nothing,0.105,False,False,False
asl_alphabet_test\S\1000117073.jpg,Integrante B,s,n,0.48829174041748047,e,0.5518003702163696,nothing,0.18,False,False,False
asl_alphabet_test\U\1000117084.jpg,Integrante B,u,b,0.3856823146343231,k,0.6011603474617004,nothing,0.145,False,False,False
asl_alphabet_test\U\1000117085.jpg,Integrante B,u,n,0.2747883200645447,k,0.4691982567310333,nothing,0.195,False,False,False
asl_alphabet_test\U\1000117086.jpg,Integrante B,u,b,0.4632975459098816,k,0.4198615849018097,nothing,0.16,False,False,False
asl_alphabet_test\U\1000117087.jpg,Integrante B,u,nothing,0.5165486335754395,u,0.5088682770729065,nothing,0.165,False,True,False
asl_alphabet_test\U\1000117088.jpg,Integrante B,u,nothing,0.22141428291797638,r,0.3882906436920166,nothing,0.16,False,False,False
asl_alphabet_test\U\1000117089.jpg,Integrante B,u,n,0.5767298340797424,u,0.5802912712097168,nothing,0.21,False,True,False
asl_alphabet_test\U\1000117090.jpg,Integrante B,u,b,0.6105429530143738,b,0.9124167561531067,nothing,0.15,False,False,False
asl_alphabet_test\U\1000117091.jpg,Integrante B,u,b,0.5516341924667358,b,0.3713475167751312,nothing,0.205,False,False,False
asl_alphabet_test\U\1000117092.jpg,Integrante B,u,nothing,0.5290306210517883,r,0.4649345576763153,nothing,0.255,False,False,False
asl_alphabet_test\U\1000117093.jpg,Integrante B,u,n,0.9589060544967651,r,0.38960859179496765,nothing,0.25,False,False,False
asl_alphabet_test\v\1.png,Integrante C,v,n,0.5907802581787109,e,0.41650471091270447,nothing,0.19,False,False,False
asl_alphabet_test\v\10.png,Integrante C,v,n,0.4253929555416107,nothing,0.8591106534004211,nothing,0.185,False,False,False
asl_alphabet_test\v\2.png,Integrante C,v,n,0.546933650970459,e,0.48178786039352417,nothing,0.17,False,False,False
asl_alphabet_test\v\3.png,Integrante C,v,n,0.5752318501472473,e,0.767982006072998,nothing,0.17,False,False,False
asl_alphabet_test\v\4.png,Integrante C,v,nothing,0.6727054715156555,nothing,0.9473041296005249,nothing,0.165,False,False,False
asl_alphabet_test\v\5.png,Integrante C,v,n,0.8301523923873901,a,0.5224212408065796,nothing,0.185,False,False,False
asl_alphabet_test\v\6.png,Integrante C,v,n,0.7457185387611389,e,0.33371812105178833,nothing,0.155,False,False,False
asl_alphabet_test\v\7.png,Integrante C,v,n,0.6548374891281128,s,0.23872612416744232,nothing,0.195,False,False,False
asl_alphabet_test\v\8.png,Integrante C,v,a,0.41480928659439087,z,0.5140504240989685,nothing,0.19,False,False,False
asl_alphabet_test\v\9.png,Integrante C,v,n,0.49764081835746765,e,0.5260103940963745,nothing,0.175,False,False,False
asl_alphabet_test\w\1.png,Integrante C,w,a,0.5451001524925232,z,0.46235471963882446,nothing,0.175,False,False,False
asl_alphabet_test\w\10.png,Integrante C,w,a,0.6135995388031006,z,0.6013230085372925,nothing,0.205,False,False,False
asl_alphabet_test\w\2.png,Integrante C,w,a,0.4883365333080292,z,0.3912726938724518,nothing,0.225,False,False,False
asl_alphabet_test\w\3.png,Integrante C,w,n,0.6535784006118774,e,0.3750584125518799,nothing,0.195,False,False,False
asl_alphabet_test\w\4.png,Integrante C,w,n,0.3743892014026642,nothing,0.8639250993728638,nothing,0.195,False,False,False
asl_alphabet_test\w\5.png,Integrante C,w,a,0.7669450640678406,z,0.35344693064689636,c,0.2,False,False,False
asl_alphabet_test\w\6.png,Integrante C,w,a,0.5657768249511719,z,0.5078023672103882,nothing,0.18,False,False,False
asl_alphabet_test\w\7.png,Integrante C,w,n,0.7632841467857361,w,0.5918782949447632,nothing,0.165,False,True,False
asl_alphabet_test\w\8.png,Integrante C,w,n,0.4681636691093445,c,0.3625708520412445,nothing,0.275,False,False,False
asl_alphabet_test\w\9.png,Integrante C,w,a,0.481054425239563,c,0.5394666194915771,nothing,0.195,False,False,False
asl_alphabet_test\X\1000117106.jpg,Integrante B,x,a,0.4578455686569214,r,0.42914697527885437,nothing,0.205,False,False,False
asl_alphabet_test\X\1000117107.jpg,Integrante B,x,nothing,0.3821110427379608,m,0.560063362121582,nothing,0.21,False,False,False
asl_alphabet_test\X\1000117108.jpg,Integrante B,x,nothing,0.44174924492836,a,0.3382706344127655,nothing,0.225,False,False,False
asl_alphabet_test\X\1000117109.jpg,Integrante B,x,a,0.4297008216381073,k,0.29516446590423584,nothing,0.18,False,False,False
asl_alphabet_test\X\1000117110.jpg,Integrante B,x,a,0.3899104595184326,m,0.6527513265609741,nothing,0.165,False,False,False
asl_alphabet_test\X\1000117111.jpg,Integrante B,x,a,0.4307421147823334,m,0.6320046186447144,nothing,0.19,False,False,False
asl_alphabet_test\X\1000117112.jpg,Integrante B,x,n,0.7146576642990112,m,0.7097899317741394,nothing,0.2,False,False,False
asl_alphabet_test\X\1000117113.jpg,Integrante B,x,nothing,0.5930507779121399,m,0.23786573112010956,nothing,0.215,False,False,False
asl_alphabet_test\X\1000117114.jpg,Integrante B,x,a,0.3917293846607208,m,0.32448267936706543,nothing,0.15,False,False,False
asl_alphabet_test\X\1000117115.jpg,Integrante B,x,a,0.49595606327056885,l,0.29502183198928833,nothing,0.165,False,False,False
asl_alphabet_test\y\1.png,Integrante C,y,n,0.564872145652771,e,0.24695761501789093,nothing,0.17,False,False,False
asl_alphabet_test\y\10.png,Integrante C,y,nothing,0.5333343744277954,c,0.7563184499740601,nothing,0.215,False,False,False
asl_alphabet_test\y\2.png,Integrante C,y,n,0.8720574378967285,p,0.3087404668331146,nothing,0.215,False,False,False
asl_alphabet_test\y\3.png,Integrante C,y,n,0.41714614629745483,c,0.5554844737052917,c,0.145,False,False,False
asl_alphabet_test\y\4.png,Integrante C,y,nothing,0.5289621353149414,c,0.6711137294769287,nothing,0.215,False,False,False
asl_alphabet_test\y\5.png,Integrante C,y,n,0.8412255048751831,c,0.24240271747112274,nothing,0.15,False,False,False
asl_alphabet_test\y\6.png,Integrante C,y,n,0.9253309369087219,y,0.5017461776733398,nothing,0.17,False,True,False
asl_alphabet_test\y\7.png,Integrante C,y,n,0.762137770652771,c,0.7602400183677673,nothing,0.21,False,False,False
asl_alphabet_test\y\8.png,Integrante C,y,n,0.6132069230079651,c,0.35363033413887024,nothing,0.23,False,False,False
asl_alphabet_test\y\9.png,Integrante C,y,n,0.9141741394996643,y,0.484830379486084,nothing,0.24,False,True,False
asl_alphabet_test\z\1.png,Integrante C,z,a,0.5350721478462219,z,0.7744974493980408,nothing,0.26,False,True,False
asl_alphabet_test\z\10.png,Integrante C,z,a,0.7307101488113403,z,0.9674180746078491,nothing,0.215,False,True,False
asl_alphabet_test\z\2.png,Integrante C,z,nothing,0.5079804062843323,z,0.6819012761116028,nothing,0.195,False,True,False
asl_alphabet_test\z\3.png,Integrante C,z,a,0.5117799639701843,a,0.4619464874267578,nothing,0.22,False,False,False
asl_alphabet_test\z\4.png,Integrante C,z,nothing,0.9052397608757019,nothing,0.673553466796875,nothing,0.235,False,False,False
asl_alphabet_test\z\5.png,Integrante C,z,nothing,0.40671437978744507,z,0.6436839699745178,nothing,0.145,False,True,False
asl_alphabet_test\z\6.png,Integrante C,z,a,0.7114590406417847,z,0.9836121201515198,nothing,0.205,False,True,False
asl_alphabet_test\z\7.png,Integrante C,z,n,0.5109921097755432,z,0.740743100643158,nothing,0.22,False,True,False
asl_alphabet_test\z\8.png,Integrante C,z,n,0.5647707581520081,e,0.4528983533382416,nothing,0.26,False,False,False
asl_alphabet_test\z\9.png,Integrante C,z,a,0.7461400032043457,z,0.9688704013824463,nothing,0.23,False,True,False
