comment_id,video_id,author_name,texto_original,etiqueta_automatica,etiqueta_manual
UgyiGiWPuiTR2hkzmVd4AaABAg,n8iP75gIpmw,@hectoroliva949,Solo giamagyey penso en grandes proyectos la coaptacion total del estado y el gran proyecto de corrupcion,negativo,
UgyCFEFtEmhDbi91yCF4AaABAg,06mFNPU0aB8,@MacoMorales-i2i2d,Destreza dise😅,neutral,
UgyeTw07aydjDqK4crN4AaABAg,lj983NWyAQY,@jhonymanuel9891,Wow una ciudad de futuro,neutral,
UgzWNJK42U_F1IKlwwh4AaABAg,n8iP75gIpmw,@davidgaher9550,"Prepotente todavía, ni vergüenza tienen, gastar como no les cuesta nada deberían pagarlo con sus propio sueldo",positivo,
UgwoyDvqZ6NlBCvXB7t4AaABAg,yLZS3JiEBg8,@herminiasaquimux7565,"Ahora comprendí porque los cañeros y grupo cacif, estan contra la ley de competencia y siguen tratando de impedir su discusión en el legislativo.",neutral,
Ugy0LbKWrqUFhWPRoKN4AaABAg.A7epXgDRFjZA7f-Z-rKQOV,n8iP75gIpmw,@luisparedes-pw6qt,Ni en su casa habían comido esas viandas. Son unos sinverguenzas,neutral,
UgxctiUZJriWwsE0a6J4AaABAg,n8iP75gIpmw,@yeniferaguirre4498,Échale un cuento completo este diputado y toda la bola de inservibles que fueron a comerse dinero del pueblo hasta sanguijuelas Oiga bien Dice que Cómo en el erario público y el gobierno como empresa donde una empresa produce dinero ellos gastan dinero desde una empresa no le da un bocado de comida a nadie si no produce ellos no producen ellos son los gastan,positivo,
Ugw6cfXYfV4H-asKlDR4AaABAg,TT4qJ5FXHYE,@rotorairgroup8409,No se ve un deporte dinamico ni entretenido. El trasfondo de este juego era bastante macabro y refleja la oscuridad de las culturas pre colombinas en America. No le encuentro sentido a recrear algo tan negativo y arcaico.,neutral,
UgxEsAK7q3l34wFdZ414AaABAg.A_zCnf5bSajA_zKDdWQaaO,6W4u8sGEnGM,@luisricardo9671,"Nayib Bukele lleva 7 años como presidente de El Salvador teniendo todos los poderes del estado a su favor, y el de Guate con todas las trabas que le pusieron los 2 primeros años, y queres un mega pais en 3 años no jodas, ni un edificio de 15 niveles lo terminan en 4 años, no esperes que la corrupcion de 30 años la solucionen en un periodo de gobierno estan dejando simientos pero si seguimos poniendo presidentes como los antecesores de este olvidate que ese puente lo terminen y seguiras viendo el pais en ruinas.",negativo,
UgwwKfLmhHVU-Oxzqtl4AaABAg,n8iP75gIpmw,@vanigomez492,"No justifico lo del diputado, pero quisiera ver una entrevista similar en la administración anterior, ahí no! Porq tambien a los d con criterio les salpicaba la corrupción",negativo,
Ugw-J65a1iYL9hqhELh4AaABAg,j43HgwYFKfk,@MarcosCarillo-b1r,Ese corrupto amigo de la vieja fiscal los tengo que verbose en la carcel,negativo,
UgxCjFHfuFk1jUGvoIB4AaABAg,lj983NWyAQY,@TheAlexX_C,"Que bella es la Ciudad de Guatemala, unica en su clase. 
Saludos desde El Salvador 😸",neutral,
UgyPm-2rnRLPav43Bt14AaABAg,TT4qJ5FXHYE,@taniagabrielacelis8434,"¡Aplaudo y celebro su iniciativa! Desde Puebla, me enorgullece conocer un grupo femenino de Ulama 😊❤️.",positivo,
UgyYPJkzW5rbOUI_vcd4AaABAg,TT4qJ5FXHYE,@Santiago.Nolasco,Excelente iniciativa,positivo,
UgwY2FW-3sBGV2CGxaJ4AaABAg,06mFNPU0aB8,@Historia-wm4os,Excelente trabajo señores agentes que Dios me los cuide mucho,positivo,
Ugzfc9D5wlSKYgY5Jrh4AaABAg,OkXlHx0hx-8,@MariaNavarroYT,Cuantas maldad😢😢😢,negativo,
UgwopmNYOXxE5kyT7fF4AaABAg,n8iP75gIpmw,@hugoasencio7764,Ya viste Nery más de lo mismo.,neutral,
Ugz8BbgcucTeHAjfvqJ4AaABAg,n8iP75gIpmw,@SergioGarcia-z9c,Señores con el salario de este señor almuerzo asta las ocho dela noche y me como un tortrix que vale la pena,neutral,
UgysnIFZt6-_f2iGbid4AaABAg,06mFNPU0aB8,@edithsan7688,Buen trabajo,neutral,
Ugz26waEPWK6VtsenFZ4AaABAg.ALglV0O_2mtALgq1_mUSB_,PjmxCj-a9Hg,@Luis-gn3fj,Ud y quienes mas😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,positivo,
UgxEsAK7q3l34wFdZ414AaABAg.A_zCnf5bSajAa41uU3Anhg,6W4u8sGEnGM,@hectormaaz5523,Por que votas por los payasos ledrones pollo roncos que han robado el pais trata de arrepentirte y no volver apoyar a sus amigos que ae estan preparando para buscar y pagar votantes,negativo,
Ugx7ezRwB-DpY3VQt754AaABAg,n8iP75gIpmw,@ManuelEdran,Minusiosas pero a la larga se vuelve millonarios. . Paguen sus almuerzos no se aprovechen del pueblo... casaka.,neutral,
Ugx-cQ3Wf3whk_hssDR4AaABAg,06mFNPU0aB8,@elsalvador3605,Por qué siempre tapan la cara de los delincuentes,neutral,
UgyzzIxBoO0_7kX1EWJ4AaABAg,WIUZtitfLRw,@nicelol5241,"Muy cierto, mi mamá en este momento esta incapacitada de una pierna y hemos vivido lo que es caminar en aceras altas, ineptas, absurdamente pequeñas y además dañadas.",neutral,
UgwCW5PErySUmwse3bZ4AaABAg,OkXlHx0hx-8,@WilR-s8r,Pero hay que ver el lado bueno si los deportan por la Frontera los carteles los secuestran para sacar dinero a los familiares en USA,positivo,
UgzZc-W-gVj1t4SXc-54AaABAg,lj983NWyAQY,@kingr4706,"Sería muy bueno que hicieran eso, y que también mejoren muchas cosas no solo en la capital. Ojalá antes lo hagan.
Vamos Guate, saldremos adelante con pasos pequeño pero firmes 🇬🇹❤️🇬🇹",positivo,
Ugxd8fn-MEnc3SKPtid4AaABAg,6W4u8sGEnGM,@lara11roberto,"Otto Pérez Leal dejó tirado un paso a desnivel en Molino Las Flores y Neto Bran ni se ha molestado en retomar. 
Hay diferencias de políticos. Arévalo, el tiempo le dará la razón.
La paciencia es una virtud.",neutral,
UgxDBhcq11EK83DqrSZ4AaABAg,j43HgwYFKfk,@genarodelgado3929,"Excelente nota prensa!!
Compartan esta información para esos estudiantes ineptos y puedan conocer la realidad!!",positivo,
UgxK5IJwWigmJ56Xp7p4AaABAg,ndAZjHqzzT8,@inge_vergueta,Magistral información. Que debería ser viral y llegar a toda la población...,neutral,
UgwA5aTmgACLCuTUT494AaABAg,lj983NWyAQY,@melvinperez6710,Guatemala nunca se tube que llamar guatemala dino guatebella guatehermosa guatelinda la eterna primavera es guatebella abrazos hnos de un salvadoreno que viva el amor y la armonia,positivo,
Ugx8FxDKPAY-M_JhRgd4AaABAg,n8iP75gIpmw,@davidisraelesquitsaquil,"Ahora se destapo la CORRUPCION Q EXISTIA Y AHORA SE CONTAMINO despues de ampliacion ahora DEUDAS a la Comunidad Internacional por PRESTAMOS para carreteras, ademas CONCESIONES A AEROPUERTOS, PUERTOS, LAS MISMAS CARRETERAS, todos millonario, EUROBONOS, vender al pais y CANASTA BASICA A Q10,000 todo lo van hacer PERO ESE DINERO QUE OBTENGAN SERA REGALO DEL 👹👹👹 Xq DIOS dara justicia en su momento la JUSTICIA DE DIOS con sus hijitos sera IMPLACABLE y omnipotente🇬🇹🇬🇹🇬🇹🇬🇹",positivo,
UgwO8kzHC551ofxNYCV4AaABAg,TT4qJ5FXHYE,@sarahernandez3873,¡Que excelente iniciativa y equipo de emprendimeitno por rescatar las tradiciones de Guatemala! Esperamos que puedan seguir avanzando y que este juego se vuelva algo mucho más popular entre las nuevas generaciones. ¡Bravo!,positivo,
UgzpHaLJJjoD9FnKO6p4AaABAg,6W4u8sGEnGM,@Murmullodelbarrio,Viva nuestra Guatemala bendita y viva nuestro presidente Bernardo Arévalo,neutral,
Ugzi82q6lRyjtKUL5lV4AaABAg,n8iP75gIpmw,@Aura-vf6dm,SON CÍNICOS,neutral,
UgwiGxmosawIyTVTjnB4AaABAg,n8iP75gIpmw,@ErvinLeonardoCarreraLatín,19:27 Basuras de diputados  artense  porque los que sufrieron  hambre serán saciados y los que se saciaron a costillas de los demás tendrán hambre y sed  de todo,negativo,
UgwhphOY9n46ofElDut4AaABAg,PjmxCj-a9Hg,@danielantoniogonzalezflore4901,Mejor saque a guatemala del parlacen y dejen de hablar de tsnta babosadas o ustedes van s ir avrefujiase al parlacen cuando salgan ese dinero que pagamos invertirlo en meducina sehan realustas por sus acciones nadie cree ya en nadie de ver que los gobiernos solo sirven para enriqueserse ya vasta,positivo,
UgwJ4UehO5E4j0niJU14AaABAg,n8iP75gIpmw,@fredydomingo7062,😂😂😂😂solo pajas😅😅que político gasta su dinero por el país,positivo,
UgyYh5BUgByoCy2qNBR4AaABAg,yLZS3JiEBg8,@angelmartinez9523,"En resumen son periodistas patéticos y poco profesionales. Si van a dar información, no la den a medias. 
1. Existe inflación, la cual fue más alta que los datos que están proporcionado, esto afecta a las empresas o el propósito es que ahora las empresas subsidien lo que venden? 
2. Los precios internacionales aplican cuando una empresa o persona oferta o compra en bolsas de valores. Existen diferentes calidades. 
3. Existen aranceles que pagan las importaciones al menos que vayan a ser procesados y exportados (ej. beneficio 2989), el DAI en la mayoría de casos es de 10%  más IVA de 12%, más ISR y otros. Esto va desde carros a cebolla a frijoles y arroz. 
No se quejan de todos los carros importados pero aún así las agencias venden más y está en manos de pocos grupos. 
4. Los margenes netos de las industrias mencionadas a disminuido. Expliquen porque.
5. Estas empresas siguen porque han conseguido la manera de hacerlo rentable, pero cualquiera puede producir, vender, importar o exportar. La diferencia es que no saben cómo hacerlo y no tienen el dinero (la verdadera barrera de entrada). 
6. El ingenio que hablan no está en otro país por las condiciones que mencionan, lo cual desacredita que todo lo que digan sea cierto.",neutral,
UgwYTL5-XYvmQxsC3Bt4AaABAg,n8iP75gIpmw,@HaroldoCastillo-rh9iw,"Estos siempre andan viendo como comen del pueblo. Si no les basta el sueldo, busquen otro trabajo y por qué lugares tan caros, porque no es su dinero...",neutral,
Ugxb1xcC9SSJ_5vSArF4AaABAg,j43HgwYFKfk,@davidlima1348,"Urge estudiantes y catedráticos con lucha social,en recuperar la autonomía universitaria,es urgente fiscalizar los bienes de quienes estuvieron apoyando a este rector,revisar viajesitos a muchos estudiantes que se vendieron urge una A.E.U. que ame la sancarlos y nuestro bendito país,urgente fiscalizarlos",neutral,
UgwEjfj5ueeimHg-Hbt4AaABAg,j43HgwYFKfk,@armindapenados2841,¡¡¡La USAC NO tiene rector sólo un usurpador!!!,neutral,
UgxPRaGm9MdlK4U6VPt4AaABAg,n8iP75gIpmw,@federicosaquimux1933,"Bueno, si lo tienen más que ""merecido"" por el trabajo por la patria, hay menús más baratos. Aunque lo justifica y lo rejustifica, no es merecido con tanta desnutrición y costo de la canasta básica.

Por honestidad, se puede reintegrar.",positivo,
UgzFOdujc0-cy9W1Uv14AaABAg,n8iP75gIpmw,@marisosa7832,Mientras los Guatemaltecos  muriendo de hambre,negativo,
UgxqSfWMWvqMX8tiC5x4AaABAg,n8iP75gIpmw,@fredymendez1786,"me imagino que en los horarios que deberian de estar trabajando estan durmiendo por eso aparecen , dicen que trabajando pero es es solamente haciendo carnitas asadas y cerveciando.",neutral,
UgzwvEpQc3M_AWvNDad4AaABAg,lj983NWyAQY,@WalksandSuch,muy padre. saludos desde mexico.,neutral,
Ugx2ApaAMqe4ca4SCYx4AaABAg,n8iP75gIpmw,@guillermogonzalez5153,"Hablemos de cosas relevantes,,,,y No de lo irrelevantes......jajajajaja",neutral,
UgwG3XiEgFlHKtrtTqd4AaABAg,n8iP75gIpmw,@JacintaTzoy,"Entoces las mismas 💩😡 Junta Directiva haciéndose de las suyas con el dinero del Estado. Ya basta de tanto robo, barriles sin fondos..💩😡",negativo,
UgycKHbiLBi0WcSs8sh4AaABAg,n8iP75gIpmw,@raquelprado3643,Nunca trabajan para el pueblo si no para si mismos,neutral,
